,ticker,queryCount,resultsCount,adjusted,results,status,request_id,count,error
74,PEP,120.0,1.0,True,"[{'v': 565165245.0, 'vw': 175.7339, 'o': 174.55, 'c': 169.88, 'h': 186.84, 'l': 160.98, 't': 1659326400000, 'n': 7600312}]",OK,d9dec894f08ec043c4f58122afaf93f2,1.0,
75,PEP,120.0,1.0,True,"[{'v': 601469619.0, 'vw': 175.0036, 'o': 170.9201, 'c': 176.31, 'h': 186.84, 'l': 160.98, 't': 1662004800000, 'n': 8083268}]",OK,aebd7ce14c08fdf7fc6c8833b6fa0476,1.0,
76,PEP,120.0,1.0,True,"[{'v': 586966686.0, 'vw': 176.1001, 'o': 163.52, 'c': 179.09, 'h': 186.84, 'l': 160.98, 't': 1664596800000, 'n': 8051825}]",OK,fadb35bd67c7b262baf4576099186199,1.0,
77,PEP,120.0,1.0,True,"[{'v': 546772075.0, 'vw': 178.0092, 'o': 180.94, 'c': 189.71, 'h': 190.18, 'l': 167.05, 't': 1667275200000, 'n': 7671600}]",OK,9bcfe20677ca8305a4988f6b28c96ec9,1.0,
78,PEP,120.0,1.0,True,"[{'v': 544020091.0, 'vw': 179.9529, 'o': 180.59, 'c': 184.89, 'h': 196.88, 'l': 167.05, 't': 1672549200000, 'n': 7724140}]",OK,289f101ca44fed5092c51d28d18964a2,1.0,
79,PEP,120.0,1.0,True,"[{'v': 567840657.0, 'vw': 182.2497, 'o': 170.88, 'c': 191.36, 'h': 196.88, 'l': 167.05, 't': 1675227600000, 'n': 8037588}]",OK,aaed883250d256c89de323c0de926494,1.0,
80,PEP,120.0,1.0,True,"[{'v': 548298615.0, 'vw': 184.1244, 'o': 172.32, 'c': 177.05, 'h': 196.88, 'l': 169.12, 't': 1677646800000, 'n': 7991935}]",OK,d74ffd30f144b69ce99567587272d694,1.0,
81,PEP,120.0,1.0,True,"[{'v': 546540307.0, 'vw': 184.5972, 'o': 181.9, 'c': 175.27, 'h': 196.88, 'l': 173.48, 't': 1680321600000, 'n': 8105101}]",OK,1ddeb2bb1a2648829dc723c2beeb5cd0,1.0,
82,PEP,120.0,1.0,True,"[{'v': 604201203.0, 'vw': 180.0693, 'o': 190.45, 'c': 160.56, 'h': 196.88, 'l': 155.83, 't': 1682913600000, 'n': 8940813}]",OK,2e9d16c95fe20675a2d311397a08c8c3,1.0,
83,PEP,105.0,1.0,True,"[{'v': 538474950.0, 'vw': 177.1239, 'o': 182.42, 'c': 162.28, 'h': 192.38, 'l': 155.83, 't': 1685592000000, 'n': 8271602}]",OK,b6f176f325e1f590e00eabb46876916f,1.0,
84,PEP,84.0,1.0,True,"[{'v': 437529428.0, 'vw': 175.5083, 'o': 184.3, 'c': 162.28, 'h': 192.38, 'l': 155.83, 't': 1688184000000, 'n': 6871374}]",OK,2bb8c01b183d326773ac5dbb0008b639,1.0,
85,PEP,64.0,1.0,True,"[{'v': 327147659.0, 'vw': 171.5132, 'o': 187.49, 'c': 162.28, 'h': 189.97, 'l': 155.83, 't': 1690862400000, 'n': 5226139}]",OK,6a968eef5211037a0e2cf64a3fe85427,1.0,
86,PEP,41.0,1.0,True,"[{'v': 234765826.0, 'vw': 167.5198, 'o': 178.73, 'c': 162.28, 'h': 181.82, 'l': 155.83, 't': 1693540800000, 'n': 3690545}]",OK,d946a115468dd98fa36a6fd9fdb8563c,1.0,
87,PEP,21.0,1.0,True,"[{'v': 138938772.0, 'vw': 161.7629, 'o': 169.08, 'c': 162.28, 'h': 170, 'l': 155.83, 't': 1696132800000, 'n': 2239538}]",OK,dc5ee383ac35cdeb7bfb511cf83748c2,1.0,
88,BROS,120.0,1.0,True,"[{'v': 236976558.0, 'vw': 53.4792, 'o': 77.5, 'c': 51.19, 'h': 81.4, 'l': 38.11, 't': 1635739200000, 'n': 2639245}]",OK,cbf086f2561e4e6e143804bced1f730d,1.0,
89,BROS,120.0,1.0,True,"[{'v': 256441484.0, 'vw': 44.2476, 'o': 51.47, 'c': 36.87, 'h': 66, 'l': 20.05, 't': 1641013200000, 'n': 2699940}]",OK,446a7b754c0f9c7d758ecc8df215c5c8,1.0,
